Tiempo(s),Temperatura(C)
328.19,45.94
329.01,45.94
329.83,46.00
330.65,46.00
331.47,46.06
332.29,46.06
333.11,46.13
333.93,46.13
334.75,46.19
335.57,46.25
336.39,46.25
337.21,46.31
338.03,46.31
338.85,46.38
339.67,46.38
340.49,46.44
341.31,46.50
342.13,46.50
342.95,46.56
343.77,46.50
344.59,46.56
345.41,46.63
346.23,46.63
347.05,46.69
347.87,46.69
348.69,46.69
349.51,46.75
350.33,46.81
351.15,46.81
352.21,46.81
353.02,46.88
353.84,46.88
354.66,46.88
355.48,46.94
356.30,47.00
357.13,47.00
357.95,47.06
358.77,47.06
359.59,47.13
360.40,47.13
361.23,47.13
362.05,47.19
362.87,47.19
363.69,47.25
364.50,47.25
365.33,47.31
366.15,47.31
366.97,47.38
367.79,47.38
368.61,47.44
369.43,47.44
370.25,47.44
371.07,47.50
371.89,47.50
372.71,47.50
373.53,47.56
374.35,47.56
375.17,47.56
375.99,47.63
376.81,47.63
377.63,47.69
378.45,47.69
379.27,47.69
380.09,47.69
380.91,47.75
381.73,47.75
382.55,47.81
383.37,47.81
384.19,47.88
385.01,47.88
385.83,47.88
386.65,47.94
387.47,47.94
388.29,48.00
389.11,48.00
389.93,48.00
390.75,48.06
391.57,48.06
392.39,48.06
393.21,48.06
394.03,48.13
394.85,48.13
395.67,48.13
396.49,48.19
397.31,48.19
398.13,48.19
398.95,48.25
399.77,48.25
400.59,48.31
401.42,48.31
402.24,48.38
403.30,48.38
404.12,48.38
404.94,48.38
405.76,48.38
406.58,48.44
407.40,48.44
408.22,48.44
409.04,48.44
409.86,48.50
410.68,48.50
411.50,48.50
412.32,48.50
413.14,48.56
413.96,48.56
414.78,48.56
415.60,48.63
416.42,48.69
417.24,48.69
418.06,48.69
418.88,48.69
419.70,48.69
420.52,48.75
421.34,48.75
422.16,48.75
422.98,48.81
423.80,48.81
424.63,48.81
425.46,48.88
426.29,48.88
427.12,48.88
427.96,48.88
428.79,48.94
429.62,48.94
430.45,48.94
431.28,48.94
432.11,49.00
432.94,49.00
433.77,49.00
434.60,49.06
435.43,49.06
436.26,49.06
437.09,49.13
437.92,49.13
438.75,49.13
439.58,49.13
440.41,49.19
441.24,49.19
442.07,49.19
442.90,49.25
443.73,49.25
444.56,49.25
445.39,49.25
446.22,49.25
447.05,49.25
447.88,49.31
448.71,49.25
449.54,49.31
450.37,49.31
451.20,49.31
452.03,49.31
452.86,49.38
453.69,49.38
454.76,49.38
455.58,49.44
456.41,49.44
457.25,49.44
458.08,49.44
458.90,49.44
459.73,49.44
460.57,49.50
461.39,49.50
462.23,49.50
463.06,49.56
463.89,49.56
464.73,49.56
465.58,49.63
466.42,49.63
467.26,49.63
468.10,49.63
468.94,49.69
469.78,49.69
470.62,49.69
471.46,49.69
472.30,49.75
473.14,49.75
473.98,49.75
474.82,49.75
475.66,49.75
476.50,49.75
477.34,49.81
478.18,49.81
479.02,49.81
479.86,49.81
480.70,49.75
481.54,49.81
482.38,49.81
483.22,49.81
484.06,49.81
484.90,49.81
485.74,49.81
486.58,49.88
487.42,49.88
488.26,49.88
489.10,49.88
489.94,49.88
490.78,49.94
491.62,49.94
492.46,49.94
493.30,49.94
494.14,49.94
494.98,49.94
495.82,49.94
496.66,49.94
497.50,49.94
498.34,49.94
499.18,50.00
500.02,50.00
500.86,50.00
501.70,49.94
502.54,50.00
503.38,50.00
504.22,50.00
505.07,50.00
505.91,50.00
506.98,50.06
507.82,50.06
508.66,50.06
509.50,50.06
510.34,50.06
511.18,50.13
512.02,50.13
512.86,50.13
513.70,50.13
514.54,50.13
515.38,50.13
516.22,50.13
517.06,50.19
517.90,50.19
518.74,50.19
519.58,50.19
520.42,50.19
521.26,50.19
522.10,50.19
522.94,50.25
523.78,50.19
524.62,50.25
525.46,50.25
526.30,50.25
527.14,50.25
527.98,50.25
528.83,50.25
529.71,50.25
530.52,50.25
531.33,50.25
532.14,50.25
532.95,50.31
533.76,50.31
534.57,50.31
535.38,50.31
536.19,50.31
537.00,50.31
537.81,50.31
538.62,50.31
539.43,50.31
540.24,50.31
541.05,50.31
541.86,50.31
542.67,50.31
543.48,50.31
544.29,50.31
545.10,50.38
545.91,50.38
546.72,50.38
547.53,50.38
548.34,50.38
549.15,50.38
549.96,50.38
550.77,50.38
551.58,50.44
552.39,50.44
553.21,50.44
554.02,50.44
554.83,50.44
555.64,50.44
556.45,50.44
557.26,50.44
558.30,50.44
559.11,50.44
559.92,50.44
560.73,50.44
561.54,50.50
562.35,50.44
563.16,50.50
563.97,50.50
564.78,50.50
565.59,50.50
566.40,50.50
567.21,50.50
568.02,50.50
568.83,50.56
569.64,50.50
570.45,50.50
571.26,50.50
572.07,50.50
572.88,50.50
573.69,50.44
574.50,50.50
575.31,50.50
576.12,50.50
576.93,50.50
577.74,50.50
578.55,50.50
579.36,50.50
580.17,50.50
580.98,50.50
581.79,50.50
582.61,50.50
583.42,50.50
584.24,50.50
585.06,50.50
585.88,50.50
586.70,50.50
587.52,50.50
588.34,50.50
589.16,50.50
589.98,50.50
590.80,50.50
591.62,50.50
592.44,50.50
593.26,50.50
594.08,50.50
594.90,50.50
595.72,50.50
596.54,50.50
597.36,50.50
598.18,50.50
599.00,50.50
599.82,50.50
600.64,50.44
601.46,50.50
602.28,50.50
603.10,50.50
603.92,50.50
604.74,50.44
605.56,50.50
606.38,50.44
607.20,50.44
608.02,50.50
609.08,50.50
609.89,50.50
610.71,50.50
611.53,50.50
612.35,50.50
613.17,50.50
613.99,50.50
614.81,50.56
615.63,50.50
616.45,50.56
617.28,50.56
618.09,50.56
618.91,50.56
619.74,50.56
620.56,50.50
621.38,50.50
622.20,50.56
623.02,50.56
623.84,50.56
624.66,50.50
625.47,50.56
626.30,50.56
627.12,50.56
627.94,50.56
628.76,50.56
629.58,50.56
630.40,50.56
631.22,50.50
632.03,50.56
632.86,50.56
633.68,50.56
634.50,50.50
635.32,50.50
636.14,50.56
636.97,50.50
637.79,50.50
638.61,50.50
